Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence,Estimated unvaccinated prevalence,Estimated vaccinated prevalence
Randolph,17958,8,0.000501,2.1772,1.0,0.001091,0.00132,0.000154
St. Francis,24994,1,8e-05,2.148,1.0,0.000172,0.00024,2.8e-05
Saline,122437,61,0.000506,2.5742,1.0517,0.001371,0.001967,0.000229
Scott,10281,2,0.000292,2.391,2.0,0.001395,0.001804,0.00021
Searcy,7881,2,0.000381,2.4662,1.0,0.000939,0.001245,0.000145
Sebastian,127827,43,0.000344,2.3952,1.5357,0.001266,0.001626,0.000189
Sevier,17007,6,0.000412,2.384,1.5,0.001472,0.001964,0.000229
Sharp,17442,4,0.000287,2.4032,1.0,0.000689,0.000905,0.000105
Stone,12506,3,0.00032,2.4662,2.0,0.001578,0.002124,0.000247
Union,38682,14,0.000388,2.6324,1.75,0.001786,0.002462,0.000287
Van Buren,16545,18,0.001148,2.7911,1.3846,0.004438,0.006149,0.000716
Washington,239187,59,0.000251,2.334,1.1346,0.000664,0.000965,0.000112
White,78753,33,0.000432,2.5458,1.375,0.001511,0.002069,0.000241
Woodruff,6320,0,0.000158,2.4032,1.0,0.00038,0.000593,6.9e-05
Yell,21341,1,9.4e-05,2.2022,1.0,0.000206,0.000284,3.3e-05
